receiver_i,label_i,indegree,correct_joint,CE_joint,CE_text_all,CE_visual_all,CE_null_all,CE_exact_os,CE_first_os,CE_second_os,dCE_text_all,dCE_visual_all,dCE_null_all,dCE_exact_os,dCE_first_os,dCE_second_os,G_local_exact,G_local_first,G_global_exact,G_global_first,G_global_second
8911,12,4,True,0.04470779,0.16270773,0.37772545,0.81097895,0.04470779,0.04470779,0.04470779,0.11799994,0.33301765,0.76627117,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2373,3,3,True,0.10352618,0.14343831,0.58231050,0.84204811,0.07555585,0.07555585,0.07555585,0.03991213,0.47878432,0.73852193,-0.02797033,-0.02797033,-0.02797033,0.03043401,0.03043401,0.02797033,0.02797033,0.02797033
8568,12,2,True,0.03188285,0.12857570,0.05976527,0.17630152,0.03188285,0.03188285,0.03188285,0.09669285,0.02788242,0.14441867,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
10474,12,17,True,0.42012963,0.76787645,0.38851050,0.71371830,0.22252013,0.22252004,0.22251993,0.34774682,-0.03161913,0.29358867,-0.19760950,-0.19760959,-0.19760969,0.25446332,0.25446332,0.19760950,0.19760959,0.19760969
16673,17,26,True,0.03265262,4.92628860,0.02406774,1.80680168,0.02278528,0.02278528,0.01957550,4.89363575,-0.00858488,1.77414906,-0.00986733,-0.00986733,-0.01307712,0.05620481,0.05620481,0.00986733,0.00986733,0.01307712
15669,17,2,True,0.20736410,0.37308469,0.17595796,0.29550022,0.17595796,0.17595796,0.17595796,0.16572060,-0.03140613,0.08813612,-0.03140613,-0.03140613,-0.03140613,0.03429689,0.03429689,0.03140613,0.03140613,0.03140613
10021,12,1,False,1.99396408,2.62749910,1.85300374,2.47208428,1.85300374,1.85300374,1.85300374,0.63353503,-0.14096034,0.47812021,-0.14096034,-0.14096034,-0.14096034,0.14096260,0.14096260,0.14096034,0.14096034,0.14096034
6528,9,1,True,0.03898154,0.16337048,0.07632796,0.33819237,0.03898154,0.03898154,0.07632796,0.12438893,0.03734642,0.29921085,0.00000000,0.00000000,0.03734642,0.00000000,0.00000000,0.00000000,0.00000000,-0.03734642
6294,8,4,True,0.35446772,2.50626731,0.01142966,0.27010190,0.00792526,0.00792526,0.00792526,2.15179968,-0.34303805,-0.08436581,-0.34654248,-0.34654248,-0.34654248,0.79214656,0.79214656,0.34654248,0.34654248,0.34654248
10200,12,6,True,0.39430493,0.41777033,1.25685859,1.05902362,0.23417787,0.23417778,0.23417787,0.02346539,0.86255366,0.66471869,-0.16012706,-0.16012715,-0.16012706,0.18746036,0.18746036,0.16012706,0.16012715,0.16012706
14473,15,1,True,0.00934063,0.18053176,0.00975319,0.18687385,0.00934063,0.00934063,0.18053176,0.17119113,0.00041256,0.17753322,0.00000000,0.00000000,0.17119113,0.00000000,0.00000000,0.00000000,0.00000000,-0.17119113
1140,1,4,True,0.00008738,0.02221649,0.00084424,0.05629332,0.00007343,0.00007343,0.00669818,0.02212911,0.00075686,0.05620594,-0.00001395,-0.00001395,0.00661080,0.00001395,0.00001395,0.00001395,0.00001395,-0.00661080
9443,12,1,True,0.09143610,0.10597675,0.27353796,0.27722141,0.09143610,0.09143610,0.10597675,0.01454065,0.18210188,0.18578532,0.00000000,0.00000000,0.01454065,0.00000000,0.00000000,0.00000000,0.00000000,-0.01454065
10460,12,3,True,0.45278347,0.27366444,0.46421796,0.38395277,0.17440896,0.17440896,0.17440896,-0.17911902,0.01143450,-0.06883070,-0.27837449,-0.27837449,-0.27837449,0.34768063,0.34768063,0.27837449,0.27837449,0.27837449
5631,7,4,True,0.78314030,0.86707157,0.79404235,0.86920661,0.57761234,0.57761234,0.57761234,0.08393127,0.01090205,0.08606631,-0.20552796,-0.20552796,-0.20552796,0.21813875,0.21813875,0.20552796,0.20552796,0.20552796
