dataset,train_seed,analysis_seed,receiver_i,neighbor_j,neighbor_k,edge_id_j,edge_id_k,alpha_j,alpha_k,norm_deltaV_j,norm_deltaV_k,label_i,S_exact_real,S_norm_real,S_second_real,Q_best_real,Q_text_sh,Q_visual_sh,Q_joint_sh,S_exact_sh,S_norm_sh,S_second_sh,Q_best_sh,receiver_correct_full
Grocery,42,12345,3095,13083,3051,109601,13789,0.09245003014802933,0.3333333432674408,1.0261484384536743,2.6108386516571045,4,-0.0010693669319152832,-0.00472489045932889,-0.0009953234904813146,0.11262845993041992,0.007444024085998535,0.2983287572860718,0.3055616021156311,-0.00021117925643920898,-0.0003454398538451642,0.0008744779381625505,0.3055616021156311,True
Grocery,42,12345,14116,14919,14110,129299,121141,0.28867512941360474,0.2182178795337677,1.969030737876892,2.5823965072631836,15,-0.03628957271575928,-0.09700214117765427,-0.06226861283102082,0.16891074180603027,0.0862310528755188,0.2799255847930908,0.299933522939682,-0.06622311472892761,-0.09942065179347992,-0.12914101855140647,0.299933522939682,True
Grocery,42,12345,14116,14113,14110,121174,121141,0.1259881556034088,0.2182178795337677,1.370653510093689,2.5823965072631836,15,-0.006444886326789856,-0.04104558005928993,-0.009451253397524922,0.07528644800186157,0.028493613004684448,0.23418186604976654,0.24219608306884766,-0.020479395985603333,-0.04056357592344284,-0.03624911764334,0.24219608306884766,True
Grocery,42,12345,14116,14110,14919,121141,129299,0.2182178795337677,0.28867512941360474,2.5823965072631836,1.969030737876892,15,-0.03753960132598877,-0.06605461984872818,-0.06848839915664624,0.2653859555721283,0.03777410089969635,0.1362435519695282,0.15038743615150452,-0.023630216717720032,-0.07284169644117355,-0.03916922579059057,0.15038743615150452,True
Grocery,42,12345,9396,9100,9574,68144,73864,0.020602142438292503,0.040555354207754135,0.20916961133480072,0.27121537923812866,12,-1.1908996384590864e-06,-0.011841260828077793,-1.270163849914576e-06,4.9685564590618014e-05,2.4901877623051405e-05,3.4791301004588604e-05,5.802584928460419e-05,-1.6673293430358171e-06,-0.01416243240237236,-1.6355927979019021e-06,5.802584928460419e-05,True
Grocery,42,12345,9396,9574,9100,73864,68144,0.040555354207754135,0.020602142438292503,0.27121537923812866,0.20916961133480072,12,-3.810651833191514e-06,-0.019692955538630486,-4.161240245821937e-06,9.484132169745862e-05,6.100296741351485e-05,2.835638588294387e-05,8.626308408565819e-05,-3.0962692108005285e-06,-0.01762925647199154,-3.257804655641015e-06,8.626308408565819e-05,True
Grocery,42,12345,143,3535,329,16903,1483,0.04052204638719559,0.37796449661254883,0.39455121755599976,2.9073703289031982,1,8.224975317716599e-05,0.04648417979478836,8.388429460539715e-05,0.0008435770869255066,-0.0021378658711910248,0.02267860621213913,0.021889492869377136,0.0013487525284290314,0.028877515345811844,0.002078762564799047,0.02267860621213913,True
Grocery,42,12345,143,329,3535,1483,16903,0.37796449661254883,0.04052204638719559,2.9073703289031982,0.39455121755599976,1,-0.0020328089594841003,-0.03616241365671158,-0.02374832188733126,0.027090243995189667,7.810071110725403e-05,-2.6149675250053406e-05,0.0010039275512099266,0.000951976515352726,0.8590388894081116,0.0011773453425293595,0.0010039275512099266,True
Grocery,42,12345,10330,2183,9760,9377,76218,0.05504819005727768,0.011478341184556484,0.45420438051223755,0.09822531789541245,12,2.2636086214333773e-06,0.041016850620508194,2.3573908663838027e-06,2.3715838324278593e-05,-2.693338319659233e-05,5.243753548711538e-06,-2.1213083527982235e-05,4.7654611989855766e-07,0.008924047462642193,4.859577143243963e-07,5.243753548711538e-06,True
Grocery,42,12345,10330,9760,2183,76218,9377,0.011478341184556484,0.05504819005727768,0.09822531789541245,0.45420438051223755,12,-1.1918018572032452e-07,-0.0072952439077198505,-4.603044621841568e-08,8.103757863864303e-06,2.5025801733136177e-06,2.6217749109491706e-05,2.8482027119025588e-05,-2.3830216377973557e-07,-0.0041652219370007515,-1.9337670274165067e-07,2.8482027119025588e-05,True
